trip_id,arrival_time,departure_time,stop_id,stop_sequence
250-1@1#1055,11:30:00,11:30:00,5329,42
250-1@1#1120,11:20:00,11:20:00,5742,1
250-1@1#1120,,,2472,2
250-1@1#1120,,,2471,3
250-1@1#1120,,,2469,4
250-1@1#1120,,,5988,5
250-1@1#1120,,,1317,6
250-1@1#1120,,,1320,7
250-1@1#1120,,,1318,8
250-1@1#1120,,,1312,9
250-1@1#1120,,,1311,10
250-1@1#1120,,,5198,11
250-1@1#1120,,,1299,12
250-1@1#1120,,,1295,13
250-1@1#1120,,,1289,14
250-1@1#1120,,,1874,15
250-1@1#1120,,,1870,16
250-1@1#1120,,,1880,17
250-1@1#1120,,,1747,18
250-1@1#1120,,,1751,19
250-1@1#1120,,,1764,20
250-1@1#1120,,,1766,21
250-1@1#1120,,,1752,22
250-1@1#1120,,,1756,23
250-1@1#1120,,,1730,24
250-1@1#1120,,,5181,25
250-1@1#1120,,,1784,26
250-1@1#1120,,,1786,27
250-1@1#1120,,,1782,28
250-1@1#1120,,,1780,29
250-1@1#1120,,,1788,30
250-1@1#1120,,,1792,31
250-1@1#1120,,,5456,32
250-1@1#1120,,,5453,33
250-1@1#1120,,,2079,34
250-1@1#1120,,,5839,35
250-1@1#1120,,,2076,36
250-1@1#1120,,,5840,37
250-1@1#1120,,,2074,38
250-1@1#1120,,,1630,39
250-1@1#1120,,,1625,40
250-1@1#1120,,,5842,41
250-1@1#1120,11:55:00,11:55:00,5329,42
250-1@1#1140,11:40:00,11:40:00,5742,1
250-1@1#1140,,,2472,2
250-1@1#1140,,,2471,3
250-1@1#1140,,,2469,4
250-1@1#1140,,,5988,5
250-1@1#1140,,,1317,6
250-1@1#1140,,,1320,7
250-1@1#1140,,,1318,8
250-1@1#1140,,,1312,9
250-1@1#1140,,,1311,10
250-1@1#1140,,,5198,11
250-1@1#1140,,,1299,12
250-1@1#1140,,,1295,13
250-1@1#1140,,,1289,14
250-1@1#1140,,,1874,15
250-1@1#1140,,,1870,16
250-1@1#1140,,,1880,17
250-1@1#1140,,,1747,18
250-1@1#1140,,,1751,19
250-1@1#1140,,,1764,20
250-1@1#1140,,,1766,21
250-1@1#1140,,,1752,22
250-1@1#1140,,,1756,23
250-1@1#1140,,,1730,24
250-1@1#1140,,,5181,25
250-1@1#1140,,,1784,26
250-1@1#1140,,,1786,27
250-1@1#1140,,,1782,28
250-1@1#1140,,,1780,29
250-1@1#1140,,,1788,30
250-1@1#1140,,,1792,31
250-1@1#1140,,,5456,32
250-1@1#1140,,,5453,33
250-1@1#1140,,,2079,34
250-1@1#1140,,,5839,35
250-1@1#1140,,,2076,36
250-1@1#1140,,,5840,37
250-1@1#1140,,,2074,38
250-1@1#1140,,,1630,39
250-1@1#1140,,,1625,40
250-1@1#1140,,,5842,41
250-1@1#1140,12:15:00,12:15:00,5329,42
250-1@1#1200,12:00:00,12:00:00,5742,1
250-1@1#1200,,,2472,2
250-1@1#1200,,,2471,3
250-1@1#1200,,,2469,4
250-1@1#1200,,,5988,5
250-1@1#1200,,,1317,6
250-1@1#1200,,,1320,7
250-1@1#1200,,,1318,8
250-1@1#1200,,,1312,9
250-1@1#1200,,,1311,10
250-1@1#1200,,,5198,11
250-1@1#1200,,,1299,12
250-1@1#1200,,,1295,13
250-1@1#1200,,,1289,14
250-1@1#1200,,,1874,15
250-1@1#1200,,,1870,16
250-1@1#1200,,,1880,17
250-1@1#1200,,,1747,18
250-1@1#1200,,,1751,19
250-1@1#1200,,,1764,20
250-1@1#1200,,,1766,21
250-1@1#1200,,,1752,22
250-1@1#1200,,,1756,23
250-1@1#1200,,,1730,24
250-1@1#1200,,,5181,25
250-1@1#1200,,,1784,26
250-1@1#1200,,,1786,27
250-1@1#1200,,,1782,28
250-1@1#1200,,,1780,29
250-1@1#1200,,,1788,30
250-1@1#1200,,,1792,31
250-1@1#1200,,,5456,32
250-1@1#1200,,,5453,33
250-1@1#1200,,,2079,34
250-1@1#1200,,,5839,35
250-1@1#1200,,,2076,36
250-1@1#1200,,,5840,37
250-1@1#1200,,,2074,38
250-1@1#1200,,,1630,39
250-1@1#1200,,,1625,40
250-1@1#1200,,,5842,41
250-1@1#1200,12:35:00,12:35:00,5329,42
250-1@1#1220,12:20:00,12:20:00,5742,1
250-1@1#1220,,,2472,2
250-1@1#1220,,,2471,3
250-1@1#1220,,,2469,4
250-1@1#1220,,,5988,5
250-1@1#1220,,,1317,6
250-1@1#1220,,,1320,7
250-1@1#1220,,,1318,8
250-1@1#1220,,,1312,9
250-1@1#1220,,,1311,10
250-1@1#1220,,,5198,11
250-1@1#1220,,,1299,12
250-1@1#1220,,,1295,13
250-1@1#1220,,,1289,14
250-1@1#1220,,,1874,15
250-1@1#1220,,,1870,16
250-1@1#1220,,,1880,17
250-1@1#1220,,,1747,18
250-1@1#1220,,,1751,19
250-1@1#1220,,,1764,20
250-1@1#1220,,,1766,21
250-1@1#1220,,,1752,22
250-1@1#1220,,,1756,23
250-1@1#1220,,,1730,24
250-1@1#1220,,,5181,25
250-1@1#1220,,,1784,26
250-1@1#1220,,,1786,27
250-1@1#1220,,,1782,28
250-1@1#1220,,,1780,29
250-1@1#1220,,,1788,30
250-1@1#1220,,,1792,31
250-1@1#1220,,,5456,32
250-1@1#1220,,,5453,33
250-1@1#1220,,,2079,34
250-1@1#1220,,,5839,35
250-1@1#1220,,,2076,36
250-1@1#1220,,,5840,37
250-1@1#1220,,,2074,38
250-1@1#1220,,,1630,39
250-1@1#1220,,,1625,40
250-1@1#1220,,,5842,41
250-1@1#1220,12:55:00,12:55:00,5329,42
250-1@1#1240,12:40:00,12:40:00,5742,1
250-1@1#1240,,,2472,2
250-1@1#1240,,,2471,3
250-1@1#1240,,,2469,4
250-1@1#1240,,,5988,5
250-1@1#1240,,,1317,6
250-1@1#1240,,,1320,7
250-1@1#1240,,,1318,8
250-1@1#1240,,,1312,9
250-1@1#1240,,,1311,10
250-1@1#1240,,,5198,11
250-1@1#1240,,,1299,12
250-1@1#1240,,,1295,13
250-1@1#1240,,,1289,14
250-1@1#1240,,,1874,15
250-1@1#1240,,,1870,16
250-1@1#1240,,,1880,17
250-1@1#1240,,,1747,18
250-1@1#1240,,,1751,19
250-1@1#1240,,,1764,20
250-1@1#1240,,,1766,21
250-1@1#1240,,,1752,22
250-1@1#1240,,,1756,23
250-1@1#1240,,,1730,24
250-1@1#1240,,,5181,25
250-1@1#1240,,,1784,26
250-1@1#1240,,,1786,27
250-1@1#1240,,,1782,28
250-1@1#1240,,,1780,29
250-1@1#1240,,,1788,30
250-1@1#1240,,,1792,31
250-1@1#1240,,,5456,32
250-1@1#1240,,,5453,33
250-1@1#1240,,,2079,34
250-1@1#1240,,,5839,35
250-1@1#1240,,,2076,36
250-1@1#1240,,,5840,37
250-1@1#1240,,,2074,38
250-1@1#1240,,,1630,39
250-1@1#1240,,,1625,40
250-1@1#1240,,,5842,41
250-1@1#1240,13:15:00,13:15:00,5329,42
250-1@1#1300,13:00:00,13:00:00,5742,1
250-1@1#1300,,,2472,2
250-1@1#1300,,,2471,3
250-1@1#1300,,,2469,4
250-1@1#1300,,,5988,5
250-1@1#1300,,,1317,6
250-1@1#1300,,,1320,7
250-1@1#1300,,,1318,8
250-1@1#1300,,,1312,9
250-1@1#1300,,,1311,10
250-1@1#1300,,,5198,11
250-1@1#1300,,,1299,12
250-1@1#1300,,,1295,13
250-1@1#1300,,,1289,14
250-1@1#1300,,,1874,15
250-1@1#1300,,,1870,16
250-1@1#1300,,,1880,17
250-1@1#1300,,,1747,18
250-1@1#1300,,,1751,19
250-1@1#1300,,,1764,20
250-1@1#1300,,,1766,21
250-1@1#1300,,,1752,22
250-1@1#1300,,,1756,23
250-1@1#1300,,,1730,24
250-1@1#1300,,,5181,25
250-1@1#1300,,,1784,26
250-1@1#1300,,,1786,27
250-1@1#1300,,,1782,28
250-1@1#1300,,,1780,29
250-1@1#1300,,,1788,30
250-1@1#1300,,,1792,31
250-1@1#1300,,,5456,32
250-1@1#1300,,,5453,33
